transaction_id,transaction_date,region,category,revenue,refunded,refund_amount
TX-0000001,2024-01-01,East Midlands,Consulting,637.52,0,0.0
TX-0000002,2024-01-01,London,Training,119.46,0,0.0
TX-0000003,2024-01-01,North West,Training,279.63,0,0.0
TX-0000004,2024-01-01,West Midlands,Training,83.12,0,0.0
TX-0000005,2024-01-01,London,Training,203.53,0,0.0
TX-0000006,2024-01-01,West Midlands,Training,201.23,0,0.0
TX-0000007,2024-01-01,Yorkshire,Consulting,653.07,0,0.0
TX-0000008,2024-01-01,London,Training,218.99,0,0.0
TX-0000009,2024-01-02,London,Training,348.88,0,0.0
TX-0000010,2024-01-02,London,Training,164.86,0,0.0
TX-0000011,2024-01-02,East Midlands,Subscription,73.84,0,0.0
TX-0000012,2024-01-02,London,Training,184.15,0,0.0
TX-0000013,2024-01-02,West Midlands,Training,232.99,0,0.0
TX-0000014,2024-01-02,West Midlands,Subscription,65.14,0,0.0
TX-0000015,2024-01-02,Yorkshire,Subscription,34.49,0,0.0
TX-0000016,2024-01-02,North West,Consulting,461.52,0,0.0
TX-0000017,2024-01-02,East Midlands,Training,135.05,0,0.0
TX-0000018,2024-01-02,West Midlands,Subscription,40.21,0,0.0
TX-0000019,2024-01-02,London,Training,183.38,0,0.0
TX-0000020,2024-01-02,London,Subscription,20.32,0,0.0
TX-0000021,2024-01-02,East Midlands,Training,101.88,0,0.0
TX-0000022,2024-01-02,Yorkshire,Training,238.54,0,0.0
TX-0000023,2024-01-02,London,Consulting,565.95,0,0.0
TX-0000024,2024-01-02,London,Consulting,603.38,0,0.0
TX-0000025,2024-01-02,West Midlands,Training,182.88,0,0.0
TX-0000026,2024-01-02,Yorkshire,Training,275.77,0,0.0
TX-0000027,2024-01-02,West Midlands,Training,345.43,0,0.0
TX-0000028,2024-01-02,North West,Subscription,83.57,0,0.0
TX-0000029,2024-01-02,North West,Consulting,200.89,0,0.0
TX-0000030,2024-01-03,Yorkshire,Training,80.21,0,0.0
TX-0000031,2024-01-03,Yorkshire,Consulting,445.71,0,0.0
TX-0000032,2024-01-03,London,Training,296.21,0,0.0
TX-0000033,2024-01-03,Yorkshire,Training,239.6,0,0.0
TX-0000034,2024-01-03,North West,Subscription,64.48,0,0.0
TX-0000035,2024-01-03,Yorkshire,Training,243.73,0,0.0
TX-0000036,2024-01-03,West Midlands,Training,237.66,0,0.0
TX-0000037,2024-01-03,East Midlands,Training,186.14,0,0.0
TX-0000038,2024-01-03,Yorkshire,Consulting,782.21,0,0.0
TX-0000039,2024-01-03,West Midlands,Subscription,78.4,0,0.0
TX-0000040,2024-01-03,North West,Training,175.37,0,0.0
TX-0000041,2024-01-03,Yorkshire,Subscription,54.3,0,0.0
TX-0000042,2024-01-03,London,Training,136.7,0,0.0
TX-0000043,2024-01-03,Yorkshire,Training,258.43,0,0.0
TX-0000044,2024-01-03,West Midlands,Subscription,31.45,1,24.52
TX-0000045,2024-01-03,Yorkshire,Training,193.34,0,0.0
TX-0000046,2024-01-03,North West,Subscription,74.95,0,0.0
TX-0000047,2024-01-03,West Midlands,Training,264.82,0,0.0
TX-0000048,2024-01-03,Yorkshire,Training,265.9,0,0.0
TX-0000049,2024-01-03,East Midlands,Training,125.53,0,0.0
TX-0000050,2024-01-03,East Midlands,Subscription,75.29,0,0.0
TX-0000051,2024-01-03,East Midlands,Training,209.25,0,0.0
TX-0000052,2024-01-04,London,Training,325.97,0,0.0
